dataset,configuration,oa_mean,oa_sd,aa_mean,aa_sd,base_oa_mean,base_oa_sd,current_oa_mean,current_oa_sd,forgetting_mean,forgetting_sd
Houston2013,FT_no_replay,61.84,0.56,57.04,1.19,92.02,0.36,10.75,5.55,0.13,0.12
Houston2013,LwF_no_replay,58.05,2.02,53.94,2.31,85.86,2.81,13.60,7.03,6.28,2.71
Houston2013,ER_control,80.92,1.03,80.97,1.46,84.74,1.49,82.19,5.09,6.33,1.52
Houston2013,iCaRL_HSI,84.95,2.77,84.63,2.12,87.54,2.57,82.32,6.47,5.55,2.85
Houston2013,Full,81.13,0.64,81.26,0.99,85.45,1.51,82.99,4.60,5.68,1.50
PaviaU,FT_no_replay,61.03,0.89,48.08,0.72,80.18,1.22,0.69,0.86,0.04,0.04
PaviaU,LwF_no_replay,60.94,1.01,48.13,0.83,79.94,1.41,1.49,1.06,0.28,0.36
PaviaU,ER_control,54.08,0.73,58.65,2.88,60.39,0.83,46.00,7.00,19.70,1.26
PaviaU,iCaRL_HSI,53.29,3.44,63.58,1.91,54.39,4.74,48.87,4.64,25.12,5.01
PaviaU,Full,53.91,1.17,58.25,3.89,60.79,0.59,42.03,8.03,19.27,0.95
